n_background	k_list	p_value
4550	46	0.0030087715453935263
1520	22	0.0030093156083077313
2390	30	0.0030107844385838323
1320	20	0.0030143236987572597
4230	44	0.0030162134654406095
1420	21	0.0030362768269952415
120	5	0.003039514666591567
300	8	0.003042266295942666
3650	40	0.003043366749863501
3120	36	0.0030465422681208577
3380	38	0.0030493954745751443
4080	43	0.003049653667975683
3790	41	0.0030511913594815816
2870	34	0.0030638625623669587
370	9	0.0030679832502681125
520	11	0.0030704026956094935
3250	37	0.0030741552586634343
1730	24	0.003081057365427041
5110	49	0.0030821233476096624
600	12	0.0030861294507460624
4390	45	0.003087666018738482
2510	31	0.003088052887674119
1130	18	0.00310319073712958
2750	33	0.0031151017777890644
4910	48	0.003121685155991782
2280	29	0.0031224704790210178
2630	32	0.0031231515449157616
5350	50	0.003157115810604178
1840	25	0.003177204712367532
3520	39	0.003187674067816354
770	14	0.003187974742511512
3000	35	0.003190418390623181
2170	28	0.003198045058616454
1630	23	0.003202766183015302
3940	42	0.003206452488435437
4730	47	0.0032066708653284066
1040	17	0.0032249122814154443
1950	26	0.0032278326038844723
2060	27	0.0032340965175250325
1230	19	0.0032376209925146513
2400	30	0.0032447193763600877
4240	44	0.0032461582995151157
4560	46	0.0032479230308017034
3660	40	0.0032668369214534413
3130	36	0.0032705482681622167
3390	38	0.0032725616933093516
3800	41	0.003276289400016786
4090	43	0.0032787306083385767
860	15	0.00328256673012918
1530	22	0.003285811978089829
950	16	0.00328968965572451
2880	34	0.0032916060885445114
3260	37	0.0032992631946956175
1330	20	0.0033094264933871695
1430	21	0.0033235181724220846
2520	31	0.0033241966609936667
4400	45	0.003326958778888851
2760	33	0.003348121098218367
1740	24	0.003348470126064191
2640	32	0.003358984625507983
5120	49	0.0033599692018023673
2290	29	0.0033675574155221117
4920	48	0.0033875042786439594
690	13	0.003403596050202152
3530	39	0.003420098114622716
450	10	0.0034209817995167783
3010	35	0.0034250013694808097
1140	18	0.003429397791695208
3950	42	0.0034437781331496877
240	7	0.0034449600970753182
1850	25	0.0034454421938434603
2180	28	0.0034523890396467648
5360	50	0.0034675886498305238
4740	47	0.003468419575972655
1640	23	0.003486433220246463
4250	44	0.003492229419616468
1960	26	0.00349400217723399
2410	30	0.0034945788250558274
2070	27	0.0034955516589003457
4570	46	0.0035047628324093873
3670	40	0.00350514825975858
3140	36	0.003509251547642334
3400	38	0.0035103963674480813
3810	41	0.0035164629111041614
4100	43	0.003523559425878497
2890	34	0.0035343599779334364
3270	37	0.0035391249910961993
610	12	0.0035410676059975084
180	6	0.003559586504548456
530	11	0.0035621584086878402
1240	19	0.0035626913230760986
2530	31	0.00357620250489552
1050	17	0.00357665902044787
4410	45	0.003583397472220019
1540	22	0.003583951276035967
780	14	0.0035955170451117055
2770	33	0.0035965435090438793
2650	32	0.0036105052274335507
1340	20	0.0036289265134637227
2300	29	0.0036294329520081834
1440	21	0.00363380730685879
1750	24	0.0036358009027283407
5130	49	0.0036618059405681106
960	16	0.003664583256408224
3540	39	0.0036677835172221683
380	9	0.0036700303951670687
4930	48	0.0036747291752203958
3020	35	0.003674914346835272
870	15	0.0036767146393059235
3960	42	0.003697102288003081
310	8	0.003722846366756501
2190	28	0.0037243211529058777
1860	25	0.0037331725448862536
4750	47	0.0037501821581230337
4260	44	0.0037554428535401456
3680	40	0.0037591650393812995
2420	30	0.0037612699107886253
3150	36	0.0037634812493209267
3410	38	0.003763736382600543
3820	41	0.003772601954599662
2080	27	0.003775320064437656
1970	26	0.0037791243854820625
4580	46	0.0037804853629701367
1150	18	0.0037842525441501964
4110	43	0.0037851064109703154
1650	23	0.003791561161951605
2900	34	0.003792966934025619
3280	37	0.0037945757705209796
5370	50	0.003807924698839389
2540	31	0.003844965346607385
4420	45	0.00385809354742689
2780	33	0.0038612318423901213
700	13	0.0038620078626278535
2660	32	0.0038785935351513504
1550	22	0.0039050919056735174
2310	29	0.003909053559163867
1250	19	0.003915145423763237
3550	39	0.003931603263476703
3030	35	0.003941013418883463
1760	24	0.0039442525115976415
1060	17	0.003960245926609341
3970	42	0.003967379921592179
1450	21	0.003968616720621432
1350	20	0.0039744189941090914
4940	48	0.0039849690885776536
5140	49	0.003989601724729263
460	10	0.004009376488031315
2200	28	0.00401484704625886
3690	40	0.004029793002221611
3420	38	0.004033457252790615
3160	36	0.004034103706133196
4270	44	0.004036869612058394
1870	25	0.004041549184181581
790	14	0.004045404422580112
3830	41	0.004045640293301206
2430	30	0.004045738754558039
620	12	0.004049516041767396
4760	47	0.0040533684516747565
4120	43	0.004064388168843425
3290	37	0.004066488542237552
2910	34	0.004068306611794371
2090	27	0.0040744565419073625
970	16	0.00407469370403604
4590	46	0.004076356155442506
1980	26	0.004084303283328538
880	15	0.0041096042035518345
540	11	0.004116003557143406
1660	23	0.004119456358338362
2550	31	0.004131418478740534
2790	33	0.004143086296310028
4430	45	0.0041522210416460896
2670	32	0.0041641675623201755
1160	18	0.004169710511890897
5380	50	0.004180932298647088
2320	29	0.004207416286815073
3560	39	0.00421247098238797
3040	35	0.004224192224597371
80	4	0.0042386475346758564
1560	22	0.004250651013456798
3980	42	0.004255613746275176
1770	24	0.004275079027539607
130	5	0.004289472130716288
1260	19	0.0042967874778644215
3700	40	0.004317980730623942
250	7	0.004318196712405383
4950	48	0.0043199437135671695
3430	38	0.004320474285783051
3170	36	0.004322023471130905
2210	28	0.004325014648802939
1460	21	0.004329482666957471
3840	41	0.0043365569106814566
4280	44	0.004337637976636127
5150	49	0.004345476088703838
1360	20	0.00434756878064221
2440	30	0.004348971312464209
3300	37	0.004355775291762208
2920	34	0.004361296555412873
390	9	0.0043622108775827955
4130	43	0.004362473576665275
710	13	0.004370073364244361
1880	25	0.004371774103964692
1070	17	0.004377888414808262
4770	47	0.004379477106975149
4600	46	0.004393715315118573
2100	27	0.004394060045329241
1990	26	0.004410689150092943
2560	31	0.004436534407936764
2800	33	0.004443045333187658
4440	45	0.004467019360322311
2680	32	0.004468184020191919
1670	23	0.0044714802576973954
3570	39	0.0045113422008478425
320	8	0.004516936105022087
980	16	0.004522535435113617
3050	35	0.004525382915206672
2330	29	0.004525559568369304
800	14	0.004540906719829278
3990	42	0.004562855938477781
890	15	0.004584097288485061
1170	18	0.004587812499041649
5390	50	0.004589677883597131
630	12	0.004616014258300553
1570	22	0.004622105161501003
3710	40	0.004624721023321329
3440	38	0.004625743741976148
3180	36	0.004628184333741921
1780	24	0.0046295865038116606
190	6	0.004643599556596034
3850	41	0.0046463775393439785
2220	28	0.004655914942996691
4290	44	0.004658935829891999
3310	37	0.00466338805990447
2450	30	0.004671994179193487
2930	34	0.004672893115075745
470	10	0.004676179668415936
4140	43	0.004680485767744196
4960	48	0.004681489812234729
1270	19	0.004709498652581764
1470	21	0.004718005759173599
1890	25	0.004725098585732156
4780	47	0.004730100273864681
5160	49	0.004731710588042408
4610	46	0.004733981074572159
2110	27	0.004735274420027886
550	11	0.004737479895500674
1370	20	0.004750110846493706
2000	26	0.004759479215064191
2570	31	0.004761325670237345
2810	33	0.004762086552724121
2690	32	0.004791639156482115
4450	45	0.00480379612163371
3580	39	0.004829215595968977
1080	17	0.004831897427794427
3060	35	0.004845557104243927
1680	23	0.0048490500452205995
2340	29	0.004864563980790798
4000	42	0.0048902098729836875
720	13	0.004931715297779416
3450	38	0.0049502639833368875
3720	40	0.004951052270595321
3190	36	0.0049535703187949765
3860	41	0.004976176194549173
3320	37	0.004990320007669722
4300	44	0.00500201302510049
2940	34	0.005004092339218378
2230	28	0.0050086826842434
1790	24	0.00500913360061248
990	16	0.005010730719346635
2460	30	0.005015875350433721
4150	43	0.005019604139071431
1580	22	0.005020990874705304
5400	50	0.005037509151158801
1180	18	0.005040684696903034
4970	48	0.005071568134833394
810	14	0.005085436368230084
4620	46	0.005098653448634571
2120	27	0.005099289086593482
2820	33	0.005101227535654116
1900	25	0.005102823835747796
900	15	0.005103178826060965
2580	31	0.005106845609014879
4790	47	0.005106928459133879
2010	26	0.00513191831259366
2700	32	0.005135569560717285
1480	21	0.005135851415767322
5170	49	0.0051507600948717935
400	9	0.005153543224497325
1280	19	0.005155237316299914
4460	45	0.005163930061793145
3590	39	0.00516713423930096
1380	20	0.005183850627395491
3070	35	0.005185726794433937
2350	29	0.005225552955451087
4010	42	0.0052388318672452645
640	12	0.005245300442924611
1690	23	0.005253639170837404
3460	38	0.005295076608638798
3730	40	0.005298059824802972
3200	36	0.005299206664574094
1090	17	0.005324679083014251
3870	41	0.005327076708853581
3330	37	0.005337606463272965
260	7	0.005350964326651808
2950	34	0.0053559308382708105
4310	44	0.005368183790547186
4160	43	0.005381066378014041
2470	30	0.005381724939762001
2240	28	0.005384497062925977
1800	24	0.005415132115571869
480	10	0.005428541851905729
560	11	0.005432367591453536
330	8	0.0054366900714161795
1590	22	0.005448905053758271
2830	33	0.005461526654194404
2590	31	0.005474189111182005
2130	27	0.0054873396583677795
4630	46	0.005489317985881792
4980	48	0.005492270651721536
2710	32	0.005501052931922721
1910	25	0.005506301534032227
4800	47	0.005511755550933903
3600	39	0.005526186828996192
5410	50	0.005528080262598017
2020	26	0.005529299461122558
1190	18	0.005530538499539014
1000	16	0.005542008703098236
3080	35	0.005546945277540694
4470	45	0.005548873996941194
730	13	0.005551020742192862
1490	21	0.0055847501440692586
5180	49	0.005605264769735344
2360	29	0.005609693435091813
4020	42	0.00560993293139212
1290	19	0.005636039021209895
1390	20	0.00565066416117914
3470	38	0.005661267571044217
3210	36	0.005666160775985907
3740	40	0.005666877362149134
910	15	0.0056699550550429
820	14	0.0056825455531596784
1700	23	0.005686777758456828
3880	41	0.005700254263593954
3340	37	0.00570632594731848
2960	34	0.00572948661592946
4320	44	0.005758829164037968
4170	43	0.005766170503542534
2480	30	0.00577069584543741
2250	28	0.005784582303805243
2840	33	0.005844083845084705
1810	24	0.00584904740927547
1100	17	0.005858733955334378
2600	31	0.005864493297272009
140	5	0.005871196677893656
2720	32	0.005889208804385198
2140	27	0.005900708487009211
1600	22	0.005907505245637036
3610	39	0.005907508905744861
4640	46	0.0059076496123306975
3090	35	0.00593030800312073
1920	25	0.005936934290506496
650	12	0.005942303787015118
4990	48	0.005945828100184036
4810	47	0.005946484007712634
2030	26	0.005952964360290729
200	6	0.005955178815154564
4480	45	0.005960157836704604
4030	42	0.0060047805192439945
2370	29	0.006018196472044913
3480	38	0.0060499682738533395
410	9	0.006053392446288895
3220	36	0.0060555431487435704
3750	40	0.006058688231303313
1200	18	0.006059670021338617
5420	50	0.0060653792482385106
1500	21	0.006066497653123346
3890	41	0.006096936912626622
3350	37	0.006097601172002468
5190	49	0.0060980627382246225
1010	16	0.006119203985874267
2970	34	0.006125879863780425
1710	23	0.006150052889078379
1400	20	0.006152498022872887
1300	19	0.006154016239717428
4330	44	0.006175399452323303
